100.0,200.0,300.0
105.0,195.0,295.0
110.0,190.0,290.0
115.0,185.0,285.0
120.0,180.0,280.0
125.0,175.0,275.0
130.0,170.0,270.0
135.0,165.0,265.0
140.0,160.0,260.0
145.0,155.0,255.0
150.0,150.0,250.0
155.0,145.0,245.0
160.0,140.0,240.0
165.0,135.0,235.0
170.0,130.0,230.0
175.0,125.0,225.0
180.0,120.0,220.0
185.0,115.0,215.0
190.0,110.0,210.0
195.0,105.0,205.0
200.0,100.0,200.0
205.0,95.0,195.0
210.0,90.0,190.0
215.0,85.0,185.0
220.0,80.0,180.0
225.0,75.0,175.0
230.0,70.0,170.0
235.0,65.0,165.0
240.0,60.0,160.0
245.0,55.0,155.0
